Wed Feb 21 13:02:54 2018
###Command: takeoff###
[67884][PWM]: {'pwm.m4_pwm': 47702.0, 'pwm.m2_pwm': 48240.0, 'pwm.m3_pwm': 47141.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 48327.0}
[67934][PWM]: {'pwm.m4_pwm': 44907.0, 'pwm.m2_pwm': 46529.0, 'pwm.m3_pwm': 43810.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 47687.0}
[67984][PWM]: {'pwm.m4_pwm': 47423.0, 'pwm.m2_pwm': 47067.0, 'pwm.m3_pwm': 46572.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 49233.0}
[68034][PWM]: {'pwm.m4_pwm': 44816.0, 'pwm.m2_pwm': 46016.0, 'pwm.m3_pwm': 46119.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 46905.0}
[68084][PWM]: {'pwm.m4_pwm': 47373.0, 'pwm.m2_pwm': 47124.0, 'pwm.m3_pwm': 47005.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49885.0}
[68134][PWM]: {'pwm.m4_pwm': 44369.0, 'pwm.m2_pwm': 46195.0, 'pwm.m3_pwm': 46567.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 46690.0}
[68184][PWM]: {'pwm.m4_pwm': 47712.0, 'pwm.m2_pwm': 47681.0, 'pwm.m3_pwm': 47296.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 50313.0}
[68234][PWM]: {'pwm.m4_pwm': 44939.0, 'pwm.m2_pwm': 45904.0, 'pwm.m3_pwm': 46331.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 47571.0}
[68284][PWM]: {'pwm.m4_pwm': 47575.0, 'pwm.m2_pwm': 45538.0, 'pwm.m3_pwm': 47079.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 48975.0}
[68334][PWM]: {'pwm.m4_pwm': 44643.0, 'pwm.m2_pwm': 46164.0, 'pwm.m3_pwm': 47032.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 47208.0}
[68384][PWM]: {'pwm.m4_pwm': 47977.0, 'pwm.m2_pwm': 46090.0, 'pwm.m3_pwm': 47206.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 48805.0}
[68434][PWM]: {'pwm.m4_pwm': 43985.0, 'pwm.m2_pwm': 46263.0, 'pwm.m3_pwm': 45124.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 47683.0}
