Wed Feb 21 06:32:40 2018
###Command: takeoff###
[174570][PWM]: {'pwm.m2_pwm': 50244.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48713.0, 'pwm.m3_pwm': 47466.0, 'pwm.m4_pwm': 49075.0}
[174620][PWM]: {'pwm.m2_pwm': 46935.0, 'pm.vbat': 3.4046921730041504, 'pwm.m1_pwm': 44028.0, 'pwm.m3_pwm': 43487.0, 'pwm.m4_pwm': 43806.0}
[174670][PWM]: {'pwm.m2_pwm': 49810.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48782.0, 'pwm.m3_pwm': 47723.0, 'pwm.m4_pwm': 49468.0}
[174720][PWM]: {'pwm.m2_pwm': 47211.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 43895.0, 'pwm.m3_pwm': 45379.0, 'pwm.m4_pwm': 45029.0}
[174770][PWM]: {'pwm.m2_pwm': 51055.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49743.0, 'pwm.m3_pwm': 48036.0, 'pwm.m4_pwm': 48950.0}
[174820][PWM]: {'pwm.m2_pwm': 46299.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 43065.0, 'pwm.m3_pwm': 46561.0, 'pwm.m4_pwm': 45869.0}
[174870][PWM]: {'pwm.m2_pwm': 50111.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 49455.0, 'pwm.m3_pwm': 48352.0, 'pwm.m4_pwm': 49385.0}
[174920][PWM]: {'pwm.m2_pwm': 46025.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 43623.0, 'pwm.m3_pwm': 45496.0, 'pwm.m4_pwm': 44553.0}
[174970][PWM]: {'pwm.m2_pwm': 49269.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48101.0, 'pwm.m3_pwm': 48565.0, 'pwm.m4_pwm': 48367.0}
[175020][PWM]: {'pwm.m2_pwm': 47317.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 44722.0, 'pwm.m3_pwm': 44983.0, 'pwm.m4_pwm': 42453.0}
[175070][PWM]: {'pwm.m2_pwm': 49704.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47813.0, 'pwm.m3_pwm': 49088.0, 'pwm.m4_pwm': 47022.0}
[175120][PWM]: {'pwm.m2_pwm': 47102.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 47120.0, 'pwm.m3_pwm': 43326.0, 'pwm.m4_pwm': 43095.0}
[175170][PWM]: {'pwm.m2_pwm': 49081.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48219.0, 'pwm.m3_pwm': 49278.0, 'pwm.m4_pwm': 47903.0}
[175220][PWM]: {'pwm.m2_pwm': 45853.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 46103.0, 'pwm.m3_pwm': 45832.0, 'pwm.m4_pwm': 45080.0}
[175270][PWM]: {'pwm.m2_pwm': 49718.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 49113.0, 'pwm.m3_pwm': 48829.0, 'pwm.m4_pwm': 46952.0}
[175320][PWM]: {'pwm.m2_pwm': 46346.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 45847.0, 'pwm.m3_pwm': 45485.0, 'pwm.m4_pwm': 43838.0}
[175370][PWM]: {'pwm.m2_pwm': 48710.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 48029.0, 'pwm.m3_pwm': 48674.0, 'pwm.m4_pwm': 46687.0}
[175420][PWM]: {'pwm.m2_pwm': 46193.0, 'pm.vbat': 3.399413585662842, 'pwm.m1_pwm': 46730.0, 'pwm.m3_pwm': 44428.0, 'pwm.m4_pwm': 43679.0}
[175470][PWM]: {'pwm.m2_pwm': 49178.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48174.0, 'pwm.m3_pwm': 48930.0, 'pwm.m4_pwm': 47028.0}
[175520][PWM]: {'pwm.m2_pwm': 48464.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 46776.0, 'pwm.m3_pwm': 45927.0, 'pwm.m4_pwm': 43426.0}
[175570][PWM]: {'pwm.m2_pwm': 49545.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49036.0, 'pwm.m3_pwm': 48288.0, 'pwm.m4_pwm': 47595.0}
[175620][PWM]: {'pwm.m2_pwm': 48004.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45039.0, 'pwm.m3_pwm': 46670.0, 'pwm.m4_pwm': 44267.0}
[175670][PWM]: {'pwm.m2_pwm': 49757.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48223.0, 'pwm.m3_pwm': 48486.0, 'pwm.m4_pwm': 48072.0}
[175720][PWM]: {'pwm.m2_pwm': 44580.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 46462.0, 'pwm.m3_pwm': 45242.0, 'pwm.m4_pwm': 49140.0}
[175770][PWM]: {'pwm.m2_pwm': 50579.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49218.0, 'pwm.m3_pwm': 46795.0, 'pwm.m4_pwm': 47939.0}
[175820][PWM]: {'pwm.m2_pwm': 48121.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45739.0, 'pwm.m3_pwm': 45666.0, 'pwm.m4_pwm': 46722.0}
[175870][PWM]: {'pwm.m2_pwm': 50764.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 47636.0, 'pwm.m3_pwm': 47912.0, 'pwm.m4_pwm': 48487.0}
[175920][PWM]: {'pwm.m2_pwm': 47613.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 45243.0, 'pwm.m3_pwm': 45026.0, 'pwm.m4_pwm': 46460.0}
[175970][PWM]: {'pwm.m2_pwm': 49902.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47360.0, 'pwm.m3_pwm': 46194.0, 'pwm.m4_pwm': 47166.0}
[176020][PWM]: {'pwm.m2_pwm': 48018.0, 'pm.vbat': 3.394134998321533, 'pwm.m1_pwm': 44249.0, 'pwm.m3_pwm': 45440.0, 'pwm.m4_pwm': 45243.0}
[176070][PWM]: {'pwm.m2_pwm': 49356.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47773.0, 'pwm.m3_pwm': 45702.0, 'pwm.m4_pwm': 47407.0}
[176120][PWM]: {'pwm.m2_pwm': 50048.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 45170.0, 'pwm.m3_pwm': 45207.0, 'pwm.m4_pwm': 43155.0}
[176170][PWM]: {'pwm.m2_pwm': 49583.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47115.0, 'pwm.m3_pwm': 47262.0, 'pwm.m4_pwm': 47621.0}
[176220][PWM]: {'pwm.m2_pwm': 48910.0, 'pm.vbat': 3.3888564109802246, 'pwm.m1_pwm': 46433.0, 'pwm.m3_pwm': 44426.0, 'pwm.m4_pwm': 44947.0}
[176270][PWM]: {'pwm.m2_pwm': 50571.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47378.0, 'pwm.m3_pwm': 47542.0, 'pwm.m4_pwm': 47264.0}
[176320][PWM]: {'pwm.m2_pwm': 49097.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46295.0, 'pwm.m3_pwm': 46262.0, 'pwm.m4_pwm': 46612.0}
[176370][PWM]: {'pwm.m2_pwm': 51491.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 49351.0, 'pwm.m3_pwm': 47888.0, 'pwm.m4_pwm': 48443.0}
[176420][PWM]: {'pwm.m2_pwm': 49717.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47696.0, 'pwm.m3_pwm': 45983.0, 'pwm.m4_pwm': 46713.0}
###Command: left###
[176470][PWM]: {'pwm.m2_pwm': 50554.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 48323.0, 'pwm.m3_pwm': 48102.0, 'pwm.m4_pwm': 48428.0}
[176520][PWM]: {'pwm.m2_pwm': 46450.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46601.0, 'pwm.m3_pwm': 45640.0, 'pwm.m4_pwm': 48312.0}
[176570][PWM]: {'pwm.m2_pwm': 45861.0, 'pm.vbat': 3.383577823638916, 'pwm.m1_pwm': 46302.0, 'pwm.m3_pwm': 46437.0, 'pwm.m4_pwm': 48909.0}
[176620][PWM]: {'pwm.m2_pwm': 51232.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 49366.0, 'pwm.m3_pwm': 43425.0, 'pwm.m4_pwm': 43166.0}
[176670][PWM]: {'pwm.m2_pwm': 47926.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 46314.0, 'pwm.m3_pwm': 47070.0, 'pwm.m4_pwm': 47156.0}
[176720][PWM]: {'pwm.m2_pwm': 49707.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 48190.0, 'pwm.m3_pwm': 45334.0, 'pwm.m4_pwm': 45262.0}
[176770][PWM]: {'pwm.m2_pwm': 50236.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47068.0, 'pwm.m3_pwm': 46695.0, 'pwm.m4_pwm': 44841.0}
[176820][PWM]: {'pwm.m2_pwm': 48179.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 47108.0, 'pwm.m3_pwm': 46215.0, 'pwm.m4_pwm': 46872.0}
[176870][PWM]: {'pwm.m2_pwm': 49860.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 48210.0, 'pwm.m3_pwm': 45325.0, 'pwm.m4_pwm': 45039.0}
[176920][PWM]: {'pwm.m2_pwm': 49648.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47449.0, 'pwm.m3_pwm': 46746.0, 'pwm.m4_pwm': 46182.0}
[176970][PWM]: {'pwm.m2_pwm': 47902.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 49064.0, 'pwm.m3_pwm': 44706.0, 'pwm.m4_pwm': 47536.0}
[177020][PWM]: {'pwm.m2_pwm': 48132.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 45070.0, 'pwm.m3_pwm': 49517.0, 'pwm.m4_pwm': 48170.0}
[177070][PWM]: {'pwm.m2_pwm': 49663.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49111.0, 'pwm.m3_pwm': 45821.0, 'pwm.m4_pwm': 46618.0}
[177120][PWM]: {'pwm.m2_pwm': 48551.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47046.0, 'pwm.m3_pwm': 47823.0, 'pwm.m4_pwm': 47596.0}
[177170][PWM]: {'pwm.m2_pwm': 49798.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48217.0, 'pwm.m3_pwm': 46801.0, 'pwm.m4_pwm': 46140.0}
[177220][PWM]: {'pwm.m2_pwm': 48872.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47903.0, 'pwm.m3_pwm': 47069.0, 'pwm.m4_pwm': 46806.0}
[177270][PWM]: {'pwm.m2_pwm': 49852.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48341.0, 'pwm.m3_pwm': 47068.0, 'pwm.m4_pwm': 45942.0}
[177320][PWM]: {'pwm.m2_pwm': 47926.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 46480.0, 'pwm.m3_pwm': 49215.0, 'pwm.m4_pwm': 48018.0}
[177370][PWM]: {'pwm.m2_pwm': 49428.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49165.0, 'pwm.m3_pwm': 46361.0, 'pwm.m4_pwm': 45883.0}
[177420][PWM]: {'pwm.m2_pwm': 49218.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48305.0, 'pwm.m3_pwm': 47213.0, 'pwm.m4_pwm': 46073.0}
###Command: left###
[177470][PWM]: {'pwm.m2_pwm': 50922.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49417.0, 'pwm.m3_pwm': 45560.0, 'pwm.m4_pwm': 43654.0}
[177520][PWM]: {'pwm.m2_pwm': 48329.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 47956.0, 'pwm.m3_pwm': 47508.0, 'pwm.m4_pwm': 46891.0}
[177570][PWM]: {'pwm.m2_pwm': 49352.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 49779.0, 'pwm.m3_pwm': 45912.0, 'pwm.m4_pwm': 45921.0}
[177620][PWM]: {'pwm.m2_pwm': 46856.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 46469.0, 'pwm.m3_pwm': 49541.0, 'pwm.m4_pwm': 48575.0}
[177670][PWM]: {'pwm.m2_pwm': 49600.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48492.0, 'pwm.m3_pwm': 47055.0, 'pwm.m4_pwm': 44590.0}
[177720][PWM]: {'pwm.m2_pwm': 46935.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47959.0, 'pwm.m3_pwm': 48273.0, 'pwm.m4_pwm': 47828.0}
[177770][PWM]: {'pwm.m2_pwm': 48577.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47305.0, 'pwm.m3_pwm': 48729.0, 'pwm.m4_pwm': 45959.0}
[177820][PWM]: {'pwm.m2_pwm': 46461.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 46783.0, 'pwm.m3_pwm': 49122.0, 'pwm.m4_pwm': 47895.0}
[177870][PWM]: {'pwm.m2_pwm': 49000.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 47367.0, 'pwm.m3_pwm': 48143.0, 'pwm.m4_pwm': 44895.0}
[177920][PWM]: {'pwm.m2_pwm': 48426.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48471.0, 'pwm.m3_pwm': 46955.0, 'pwm.m4_pwm': 45755.0}
[177970][PWM]: {'pwm.m2_pwm': 48615.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 48739.0, 'pwm.m3_pwm': 46741.0, 'pwm.m4_pwm': 45998.0}
[178020][PWM]: {'pwm.m2_pwm': 50547.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 48004.0, 'pwm.m3_pwm': 48149.0, 'pwm.m4_pwm': 45062.0}
[178070][PWM]: {'pwm.m2_pwm': 48848.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 50103.0, 'pwm.m3_pwm': 45204.0, 'pwm.m4_pwm': 46506.0}
