Wed Feb 21 06:24:45 2018
###Command: takeoff###
[228286][PWM]: {'pwm.m1_pwm': 44505.0, 'pwm.m4_pwm': 47001.0, 'pwm.m2_pwm': 47643.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 46647.0}
[228336][PWM]: {'pwm.m1_pwm': 46846.0, 'pwm.m4_pwm': 45396.0, 'pwm.m2_pwm': 48898.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 44560.0}
[228386][PWM]: {'pwm.m1_pwm': 45631.0, 'pwm.m4_pwm': 44945.0, 'pwm.m2_pwm': 48700.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45876.0}
[228436][PWM]: {'pwm.m1_pwm': 46281.0, 'pwm.m4_pwm': 45665.0, 'pwm.m2_pwm': 47963.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45400.0}
[228486][PWM]: {'pwm.m1_pwm': 46175.0, 'pwm.m4_pwm': 46877.0, 'pwm.m2_pwm': 47258.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 45765.0}
[228536][PWM]: {'pwm.m1_pwm': 46631.0, 'pwm.m4_pwm': 45578.0, 'pwm.m2_pwm': 48595.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45441.0}
[228586][PWM]: {'pwm.m1_pwm': 45601.0, 'pwm.m4_pwm': 46543.0, 'pwm.m2_pwm': 47290.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45840.0}
[228636][PWM]: {'pwm.m1_pwm': 46961.0, 'pwm.m4_pwm': 45477.0, 'pwm.m2_pwm': 48479.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 44403.0}
[228686][PWM]: {'pwm.m1_pwm': 45747.0, 'pwm.m4_pwm': 46711.0, 'pwm.m2_pwm': 47461.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45284.0}
[228736][PWM]: {'pwm.m1_pwm': 46610.0, 'pwm.m4_pwm': 46914.0, 'pwm.m2_pwm': 47187.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 43924.0}
[228786][PWM]: {'pwm.m1_pwm': 44972.0, 'pwm.m4_pwm': 46623.0, 'pwm.m2_pwm': 47828.0, 'pm.vbat': 3.4574780464172363, 'pwm.m3_pwm': 45447.0}
[228836][PWM]: {'pwm.m1_pwm': 45484.0, 'pwm.m4_pwm': 45931.0, 'pwm.m2_pwm': 48609.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 44841.0}
[228886][PWM]: {'pwm.m1_pwm': 45609.0, 'pwm.m4_pwm': 46153.0, 'pwm.m2_pwm': 48521.0, 'pm.vbat': 3.4521994590759277, 'pwm.m3_pwm': 45085.0}
[228936][PWM]: {'pwm.m1_pwm': 45286.0, 'pwm.m4_pwm': 45306.0, 'pwm.m2_pwm': 49074.0, 'pm.vbat': 3.446920871734619, 'pwm.m3_pwm': 45533.0}
