Wed Feb 21 06:23:35 2018
###Command: takeoff###
[158423][PWM]: {'pwm.m4_pwm': 43593.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47938.0, 'pwm.m3_pwm': 45013.0, 'pwm.m1_pwm': 46469.0}
[158473][PWM]: {'pwm.m4_pwm': 45524.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47323.0, 'pwm.m3_pwm': 44995.0, 'pwm.m1_pwm': 47763.0}
[158523][PWM]: {'pwm.m4_pwm': 43742.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48019.0, 'pwm.m3_pwm': 45315.0, 'pwm.m1_pwm': 46848.0}
[158573][PWM]: {'pwm.m4_pwm': 45418.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47417.0, 'pwm.m3_pwm': 45264.0, 'pwm.m1_pwm': 47410.0}
[158623][PWM]: {'pwm.m4_pwm': 43942.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47710.0, 'pwm.m3_pwm': 44937.0, 'pwm.m1_pwm': 46074.0}
[158673][PWM]: {'pwm.m4_pwm': 44797.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47429.0, 'pwm.m3_pwm': 44443.0, 'pwm.m1_pwm': 47054.0}
[158723][PWM]: {'pwm.m4_pwm': 44591.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47521.0, 'pwm.m3_pwm': 45041.0, 'pwm.m1_pwm': 45521.0}
[158773][PWM]: {'pwm.m4_pwm': 45446.0, 'pm.vbat': 3.4838709831237793, 'pwm.m2_pwm': 47570.0, 'pwm.m3_pwm': 44323.0, 'pwm.m1_pwm': 46974.0}
[158823][PWM]: {'pwm.m4_pwm': 44199.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48317.0, 'pwm.m3_pwm': 44933.0, 'pwm.m1_pwm': 46743.0}
[158873][PWM]: {'pwm.m4_pwm': 45320.0, 'pm.vbat': 3.473313808441162, 'pwm.m2_pwm': 48412.0, 'pwm.m3_pwm': 45978.0, 'pwm.m1_pwm': 46787.0}
[158923][PWM]: {'pwm.m4_pwm': 44992.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47807.0, 'pwm.m3_pwm': 45145.0, 'pwm.m1_pwm': 46709.0}
[158973][PWM]: {'pwm.m4_pwm': 45405.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 47909.0, 'pwm.m3_pwm': 45175.0, 'pwm.m1_pwm': 46794.0}
[159023][PWM]: {'pwm.m4_pwm': 44386.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48034.0, 'pwm.m3_pwm': 45532.0, 'pwm.m1_pwm': 46154.0}
[159073][PWM]: {'pwm.m4_pwm': 44981.0, 'pm.vbat': 3.4785923957824707, 'pwm.m2_pwm': 48243.0, 'pwm.m3_pwm': 44943.0, 'pwm.m1_pwm': 47002.0}
