Wed Feb 21 12:53:39 2018
###Command: takeoff###
[125650][PWM]: {'pwm.m3_pwm': 49946.0, 'pwm.m1_pwm': 47769.0, 'pwm.m4_pwm': 47169.0, 'pwm.m2_pwm': 48404.0, 'pm.vbat': 3.4046921730041504}
[125700][PWM]: {'pwm.m3_pwm': 46722.0, 'pwm.m1_pwm': 45537.0, 'pwm.m4_pwm': 43858.0, 'pwm.m2_pwm': 47256.0, 'pm.vbat': 3.420527935028076}
[125750][PWM]: {'pwm.m3_pwm': 49640.0, 'pwm.m1_pwm': 46151.0, 'pwm.m4_pwm': 46073.0, 'pwm.m2_pwm': 49117.0, 'pm.vbat': 3.409970760345459}
[125800][PWM]: {'pwm.m3_pwm': 46157.0, 'pwm.m1_pwm': 44656.0, 'pwm.m4_pwm': 43786.0, 'pwm.m2_pwm': 46492.0, 'pm.vbat': 3.4310851097106934}
[125850][PWM]: {'pwm.m3_pwm': 49269.0, 'pwm.m1_pwm': 45829.0, 'pwm.m4_pwm': 47202.0, 'pwm.m2_pwm': 48625.0, 'pm.vbat': 3.4046921730041504}
[125900][PWM]: {'pwm.m3_pwm': 46732.0, 'pwm.m1_pwm': 44231.0, 'pwm.m4_pwm': 44772.0, 'pwm.m2_pwm': 47207.0, 'pm.vbat': 3.4258065223693848}
[125950][PWM]: {'pwm.m3_pwm': 48804.0, 'pwm.m1_pwm': 46539.0, 'pwm.m4_pwm': 47180.0, 'pwm.m2_pwm': 49566.0, 'pm.vbat': 3.4258065223693848}
[126000][PWM]: {'pwm.m3_pwm': 44827.0, 'pwm.m1_pwm': 46143.0, 'pwm.m4_pwm': 44054.0, 'pwm.m2_pwm': 48734.0, 'pm.vbat': 3.420527935028076}
[126050][PWM]: {'pwm.m3_pwm': 49039.0, 'pwm.m1_pwm': 45773.0, 'pwm.m4_pwm': 47964.0, 'pwm.m2_pwm': 49556.0, 'pm.vbat': 3.409970760345459}
[126100][PWM]: {'pwm.m3_pwm': 45631.0, 'pwm.m1_pwm': 44263.0, 'pwm.m4_pwm': 46047.0, 'pwm.m2_pwm': 47007.0, 'pm.vbat': 3.420527935028076}
[126150][PWM]: {'pwm.m3_pwm': 47354.0, 'pwm.m1_pwm': 45830.0, 'pwm.m4_pwm': 47768.0, 'pwm.m2_pwm': 48173.0, 'pm.vbat': 3.4310851097106934}
[126200][PWM]: {'pwm.m3_pwm': 45258.0, 'pwm.m1_pwm': 44375.0, 'pwm.m4_pwm': 45942.0, 'pwm.m2_pwm': 46243.0, 'pm.vbat': 3.420527935028076}
[126250][PWM]: {'pwm.m3_pwm': 48736.0, 'pwm.m1_pwm': 45391.0, 'pwm.m4_pwm': 48173.0, 'pwm.m2_pwm': 48987.0, 'pm.vbat': 3.420527935028076}
[126300][PWM]: {'pwm.m3_pwm': 47615.0, 'pwm.m1_pwm': 43701.0, 'pwm.m4_pwm': 45997.0, 'pwm.m2_pwm': 47676.0, 'pm.vbat': 3.4152493476867676}
[126350][PWM]: {'pwm.m3_pwm': 47445.0, 'pwm.m1_pwm': 47589.0, 'pwm.m4_pwm': 47451.0, 'pwm.m2_pwm': 49333.0, 'pm.vbat': 3.409970760345459}
[126400][PWM]: {'pwm.m3_pwm': 47522.0, 'pwm.m1_pwm': 44215.0, 'pwm.m4_pwm': 46405.0, 'pwm.m2_pwm': 47478.0, 'pm.vbat': 3.4152493476867676}
[126450][PWM]: {'pwm.m3_pwm': 48227.0, 'pwm.m1_pwm': 47360.0, 'pwm.m4_pwm': 48798.0, 'pwm.m2_pwm': 48582.0, 'pm.vbat': 3.409970760345459}
[126500][PWM]: {'pwm.m3_pwm': 47561.0, 'pwm.m1_pwm': 44884.0, 'pwm.m4_pwm': 46718.0, 'pwm.m2_pwm': 47987.0, 'pm.vbat': 3.4046921730041504}
[126550][PWM]: {'pwm.m3_pwm': 48390.0, 'pwm.m1_pwm': 46333.0, 'pwm.m4_pwm': 47784.0, 'pwm.m2_pwm': 48776.0, 'pm.vbat': 3.4152493476867676}
[126600][PWM]: {'pwm.m3_pwm': 46694.0, 'pwm.m1_pwm': 45487.0, 'pwm.m4_pwm': 46452.0, 'pwm.m2_pwm': 47316.0, 'pm.vbat': 3.4152493476867676}
[126650][PWM]: {'pwm.m3_pwm': 48307.0, 'pwm.m1_pwm': 46889.0, 'pwm.m4_pwm': 46657.0, 'pwm.m2_pwm': 49547.0, 'pm.vbat': 3.409970760345459}
[126700][PWM]: {'pwm.m3_pwm': 47122.0, 'pwm.m1_pwm': 45613.0, 'pwm.m4_pwm': 46298.0, 'pwm.m2_pwm': 47244.0, 'pm.vbat': 3.409970760345459}
[126750][PWM]: {'pwm.m3_pwm': 48771.0, 'pwm.m1_pwm': 47237.0, 'pwm.m4_pwm': 47064.0, 'pwm.m2_pwm': 49549.0, 'pm.vbat': 3.4046921730041504}
