time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
1950, 53682, 48531, 44084, 50161, 3.39413499832153, 2.35966311774865, 1.91769830709321, 1.57001102539041, 2.05306229984079, 7.90043475007306
2000, 36120, 45141, 47866, 42241, 3.45219945907593, 1.02886788744222, 1.64975427475572, 1.86368360095095, 1.43535175662661, 5.97765751977551
2050, 52843, 47985, 41927, 51597, 3.40469217300415, 2.28486054876913, 1.87329760581312, 1.41296845022831, 2.17577840366822, 7.74690500847878
2100, 36224, 45874, 48568, 42144, 3.44692087173462, 1.03524252074206, 1.70612131975851, 1.9207243111838, 1.42841971765351, 6.09050786933787
2150, 49116, 50059, 46604, 50260, 3.39941358566284, 1.96579634733811, 2.04446865903247, 1.76312167051664, 2.06141883093787, 7.83480550782509
2200, 39340, 44783, 45819, 42719, 3.45219945907593, 1.2348149191403, 1.62254163325864, 1.70186164941327, 1.46973917984483, 6.02895738165704
2250, 50200, 50135, 49543, 47097, 3.39413499832153, 2.05635242753296, 2.0508702099955, 2.00124605930198, 1.80210211369244, 7.91057081052288
2300, 42662, 44179, 45481, 42767, 3.45219945907593, 1.46561874855182, 1.5771034926833, 1.67579160635662, 1.47321317872945, 6.1917270263212
2350, 48645, 50254, 47421, 48653, 3.40469217300415, 1.92702864596345, 2.0609119360057, 1.82793259673382, 1.92768418195913, 7.74355736066209
2400, 38335, 45550, 45797, 45583, 3.44692087173462, 1.16864147772873, 1.68109855624815, 1.70015915210739, 1.68363939180843, 6.23353857789269
2450, 49194, 49174, 49205, 48994, 3.39941358566284, 1.97225041021985, 1.97059460415586, 1.97316137340437, 1.9557208515423, 7.87172723932237
2500, 43004, 45436, 46261, 43741, 3.44164228439331, 1.49042178557299, 1.67233471272577, 1.73623219021064, 1.54452652073338, 6.44351520924278
2550, 49039, 50272, 49984, 48618, 3.39413499832153, 1.95943447831968, 2.06243279050244, 2.03816024869027, 1.92481696257779, 7.98484448009018
2600, 43020, 45112, 46368, 44126, 3.44164228439331, 1.49158688626221, 1.6475421364031, 1.74460009717525, 1.57314482103146, 6.45687394087201
2650, 48140, 50432, 51378, 48294, 3.39413499832153, 1.88585392740773, 2.07597386374016, 2.15685506042369, 1.89836716367389, 8.01705001524547
2700, 44368, 45156, 45701, 44015, 3.436363697052, 1.59125766835813, 1.6508990207746, 1.69273924336439, 1.56486891622528, 6.49976484872239
2750, 47613, 49733, 51764, 48185, 3.39941358566284, 1.84331890609406, 2.01711253516323, 2.19025872561581, 1.88950648529828, 7.94019665217138
2800, 45743, 42951, 44719, 43069, 3.44692087173462, 1.6959836171089, 1.48656540410861, 1.61769879548152, 1.49515763194212, 6.29540544864115
2850, 47594, 49032, 50068, 47584, 3.39941358566284, 1.84179367258115, 1.95885659230527, 2.04522626312923, 1.84099115005059, 7.68686767806623
2900, 45253, 44340, 43307, 42954, 3.44692087173462, 1.65831054052549, 1.58915706864538, 1.51255750938905, 1.48678356618508, 6.24680868474499
2950, 45687, 49877, 49413, 46446, 3.40997076034546, 1.69165842038342, 2.02917557957357, 1.99042288720686, 1.75071170333809, 7.46196859050194
3000, 45008, 44660, 44546, 42411, 3.44164228439331, 1.63962019850429, 1.61324021980265, 1.60464142904085, 1.44753828256737, 6.30504012991516
3050, 47419, 47024, 50755, 47412, 3.40997076034546, 1.82777263324354, 1.79630552662322, 2.10343228747852, 1.82721281147691, 7.55472325882219
3100, 44262, 45187, 44871, 42199, 3.436363697052, 1.5833121549876, 1.65326598824555, 1.62921143337321, 1.43234834122242, 6.29813791782878
3150, 46248, 47096, 49782, 46401, 3.41524934768677, 1.73521678717536, 1.80202265060159, 2.02121365240416, 1.74718457954486, 7.30563766972597
3200, 44309, 44855, 44876, 42576, 3.44164228439331, 1.5868328992639, 1.62799780412266, 1.6295907780207, 1.45941211726936, 6.30383359867663
