Wed Feb 21 12:55:43 2018
###Command: takeoff###
[251894][PWM]: {'pwm.m4_pwm': 24349.0, 'pwm.m3_pwm': 43546.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 59318.0, 'pwm.m2_pwm': 54793.0}
[251944][PWM]: {'pwm.m4_pwm': 48080.0, 'pwm.m3_pwm': 58280.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 44507.0, 'pwm.m2_pwm': 32842.0}
[251994][PWM]: {'pwm.m4_pwm': 39042.0, 'pwm.m3_pwm': 51898.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 55879.0, 'pwm.m2_pwm': 48215.0}
[252044][PWM]: {'pwm.m4_pwm': 49048.0, 'pwm.m3_pwm': 56328.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 46407.0, 'pwm.m2_pwm': 35037.0}
###Command: left###
[252094][PWM]: {'pwm.m4_pwm': 25876.0, 'pwm.m3_pwm': 41668.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 58300.0, 'pwm.m2_pwm': 55952.0}
[252144][PWM]: {'pwm.m4_pwm': 45943.0, 'pwm.m3_pwm': 54027.0, 'pm.vbat': 3.373020648956299, 'pwm.m1_pwm': 45554.0, 'pwm.m2_pwm': 41541.0}
[252194][PWM]: {'pwm.m4_pwm': 53777.0, 'pwm.m3_pwm': 56375.0, 'pm.vbat': 3.3624634742736816, 'pwm.m1_pwm': 42087.0, 'pwm.m2_pwm': 32573.0}
[252244][PWM]: {'pwm.m4_pwm': 36485.0, 'pwm.m3_pwm': 46687.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 51422.0, 'pwm.m2_pwm': 52934.0}
[252294][PWM]: {'pwm.m4_pwm': 49315.0, 'pwm.m3_pwm': 52904.0, 'pm.vbat': 3.3782992362976074, 'pwm.m1_pwm': 42412.0, 'pwm.m2_pwm': 44663.0}
[252344][PWM]: {'pwm.m4_pwm': 56700.0, 'pwm.m3_pwm': 54989.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 38302.0, 'pwm.m2_pwm': 35856.0}
[252394][PWM]: {'pwm.m4_pwm': 30571.0, 'pwm.m3_pwm': 39404.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 55687.0, 'pwm.m2_pwm': 59248.0}
[252444][PWM]: {'pwm.m4_pwm': 48765.0, 'pwm.m3_pwm': 52947.0, 'pm.vbat': 3.3677420616149902, 'pwm.m1_pwm': 38281.0, 'pwm.m2_pwm': 48609.0}
[252494][PWM]: {'pwm.m4_pwm': 47568.0, 'pwm.m3_pwm': 42860.0, 'pm.vbat': 3.357184886932373, 'pwm.m1_pwm': 53122.0, 'pwm.m2_pwm': 51184.0}
[252544][PWM]: {'pwm.m4_pwm': 52400.0, 'pwm.m3_pwm': 54327.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 36349.0, 'pwm.m2_pwm': 45453.0}
###Command: right###
[252594][PWM]: {'pwm.m4_pwm': 35548.0, 'pwm.m3_pwm': 35799.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 55457.0, 'pwm.m2_pwm': 58578.0}
[252644][PWM]: {'pwm.m4_pwm': 57233.0, 'pwm.m3_pwm': 56497.0, 'pm.vbat': 3.3519062995910645, 'pwm.m1_pwm': 31106.0, 'pwm.m2_pwm': 34809.0}
