Wed Feb 21 06:10:04 2018
###Command: takeoff###
[283862][PWM]: {'pwm.m1_pwm': 43415.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 43973.0, 'pwm.m3_pwm': 44311.0, 'pwm.m4_pwm': 43716.0}
[283912][PWM]: {'pwm.m1_pwm': 46786.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46294.0, 'pwm.m3_pwm': 43984.0, 'pwm.m4_pwm': 44603.0}
[283962][PWM]: {'pwm.m1_pwm': 43354.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 43752.0, 'pwm.m3_pwm': 43304.0, 'pwm.m4_pwm': 42970.0}
[284012][PWM]: {'pwm.m1_pwm': 45040.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 45446.0, 'pwm.m3_pwm': 43952.0, 'pwm.m4_pwm': 43828.0}
[284062][PWM]: {'pwm.m1_pwm': 42537.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 42881.0, 'pwm.m3_pwm': 44030.0, 'pwm.m4_pwm': 44286.0}
[284112][PWM]: {'pwm.m1_pwm': 46155.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46611.0, 'pwm.m3_pwm': 43260.0, 'pwm.m4_pwm': 43611.0}
[284162][PWM]: {'pwm.m1_pwm': 42232.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 43757.0, 'pwm.m3_pwm': 44241.0, 'pwm.m4_pwm': 43770.0}
[284212][PWM]: {'pwm.m1_pwm': 45153.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 45227.0, 'pwm.m3_pwm': 43034.0, 'pwm.m4_pwm': 44071.0}
[284262][PWM]: {'pwm.m1_pwm': 42249.0, 'pm.vbat': 3.578885793685913, 'pwm.m2_pwm': 44122.0, 'pwm.m3_pwm': 44193.0, 'pwm.m4_pwm': 43982.0}
[284312][PWM]: {'pwm.m1_pwm': 45079.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46750.0, 'pwm.m3_pwm': 43749.0, 'pwm.m4_pwm': 43801.0}
[284362][PWM]: {'pwm.m1_pwm': 43020.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 43589.0, 'pwm.m3_pwm': 43917.0, 'pwm.m4_pwm': 45590.0}
[284412][PWM]: {'pwm.m1_pwm': 45747.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46049.0, 'pwm.m3_pwm': 42349.0, 'pwm.m4_pwm': 44525.0}
[284462][PWM]: {'pwm.m1_pwm': 42524.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 44363.0, 'pwm.m3_pwm': 43657.0, 'pwm.m4_pwm': 44407.0}
[284512][PWM]: {'pwm.m1_pwm': 44879.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 46058.0, 'pwm.m3_pwm': 43015.0, 'pwm.m4_pwm': 44367.0}
[284562][PWM]: {'pwm.m1_pwm': 43689.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45568.0, 'pwm.m3_pwm': 43560.0, 'pwm.m4_pwm': 44197.0}
[284612][PWM]: {'pwm.m1_pwm': 45392.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46477.0, 'pwm.m3_pwm': 43616.0, 'pwm.m4_pwm': 44875.0}
[284662][PWM]: {'pwm.m1_pwm': 45293.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45777.0, 'pwm.m3_pwm': 43043.0, 'pwm.m4_pwm': 44843.0}
[284712][PWM]: {'pwm.m1_pwm': 44836.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 46062.0, 'pwm.m3_pwm': 45216.0, 'pwm.m4_pwm': 46271.0}
[284762][PWM]: {'pwm.m1_pwm': 45213.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45999.0, 'pwm.m3_pwm': 42706.0, 'pwm.m4_pwm': 44144.0}
[284812][PWM]: {'pwm.m1_pwm': 45885.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45932.0, 'pwm.m3_pwm': 43684.0, 'pwm.m4_pwm': 45413.0}
[284862][PWM]: {'pwm.m1_pwm': 43940.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 46058.0, 'pwm.m3_pwm': 43865.0, 'pwm.m4_pwm': 43250.0}
[284912][PWM]: {'pwm.m1_pwm': 45741.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45823.0, 'pwm.m3_pwm': 43575.0, 'pwm.m4_pwm': 44675.0}
[284962][PWM]: {'pwm.m1_pwm': 44348.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 44999.0, 'pwm.m3_pwm': 43896.0, 'pwm.m4_pwm': 44401.0}
[285012][PWM]: {'pwm.m1_pwm': 44751.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 46384.0, 'pwm.m3_pwm': 44791.0, 'pwm.m4_pwm': 44188.0}
[285062][PWM]: {'pwm.m1_pwm': 43957.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 43921.0, 'pwm.m3_pwm': 43752.0, 'pwm.m4_pwm': 44840.0}
[285112][PWM]: {'pwm.m1_pwm': 45679.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45872.0, 'pwm.m3_pwm': 43476.0, 'pwm.m4_pwm': 44280.0}
[285162][PWM]: {'pwm.m1_pwm': 44125.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 43686.0, 'pwm.m3_pwm': 43102.0, 'pwm.m4_pwm': 44583.0}
[285212][PWM]: {'pwm.m1_pwm': 45021.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 44958.0, 'pwm.m3_pwm': 42446.0, 'pwm.m4_pwm': 43668.0}
[285262][PWM]: {'pwm.m1_pwm': 43838.0, 'pm.vbat': 3.5736072063446045, 'pwm.m2_pwm': 45145.0, 'pwm.m3_pwm': 43630.0, 'pwm.m4_pwm': 43512.0}
[285312][PWM]: {'pwm.m1_pwm': 44947.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46571.0, 'pwm.m3_pwm': 43904.0, 'pwm.m4_pwm': 43512.0}
[285362][PWM]: {'pwm.m1_pwm': 44862.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45705.0, 'pwm.m3_pwm': 44193.0, 'pwm.m4_pwm': 44637.0}
[285412][PWM]: {'pwm.m1_pwm': 44773.0, 'pm.vbat': 3.55249285697937, 'pwm.m2_pwm': 46319.0, 'pwm.m3_pwm': 45197.0, 'pwm.m4_pwm': 44816.0}
[285462][PWM]: {'pwm.m1_pwm': 44838.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45435.0, 'pwm.m3_pwm': 43902.0, 'pwm.m4_pwm': 44521.0}
[285512][PWM]: {'pwm.m1_pwm': 44751.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45521.0, 'pwm.m3_pwm': 44002.0, 'pwm.m4_pwm': 44357.0}
[285562][PWM]: {'pwm.m1_pwm': 43567.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45050.0, 'pwm.m3_pwm': 44635.0, 'pwm.m4_pwm': 44617.0}
[285612][PWM]: {'pwm.m1_pwm': 44409.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 44788.0, 'pwm.m3_pwm': 43741.0, 'pwm.m4_pwm': 45105.0}
[285662][PWM]: {'pwm.m1_pwm': 43867.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 44693.0, 'pwm.m3_pwm': 43741.0, 'pwm.m4_pwm': 44789.0}
[285712][PWM]: {'pwm.m1_pwm': 44311.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45132.0, 'pwm.m3_pwm': 44181.0, 'pwm.m4_pwm': 45321.0}
[285762][PWM]: {'pwm.m1_pwm': 44586.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 46003.0, 'pwm.m3_pwm': 43556.0, 'pwm.m4_pwm': 44143.0}
[285812][PWM]: {'pwm.m1_pwm': 43540.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 44704.0, 'pwm.m3_pwm': 44152.0, 'pwm.m4_pwm': 45016.0}
[285862][PWM]: {'pwm.m1_pwm': 44065.0, 'pm.vbat': 3.568328619003296, 'pwm.m2_pwm': 45136.0, 'pwm.m3_pwm': 43108.0, 'pwm.m4_pwm': 43897.0}
[285912][PWM]: {'pwm.m1_pwm': 44018.0, 'pm.vbat': 3.5630500316619873, 'pwm.m2_pwm': 45949.0, 'pwm.m3_pwm': 44541.0, 'pwm.m4_pwm': 44215.0}
[285962][PWM]: {'pwm.m1_pwm': 44521.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 45825.0, 'pwm.m3_pwm': 44670.0, 'pwm.m4_pwm': 44813.0}
[286012][PWM]: {'pwm.m1_pwm': 45536.0, 'pm.vbat': 3.5577714443206787, 'pwm.m2_pwm': 45401.0, 'pwm.m3_pwm': 44053.0, 'pwm.m4_pwm': 45416.0}
