Wed Feb 21 06:10:38 2018
###Command: takeoff###
[318635][PWM]: {'pwm.m4_pwm': 41109.0, 'pwm.m2_pwm': 45342.0, 'pm.vbat': 3.5630500316619873, 'pwm.m1_pwm': 44359.0, 'pwm.m3_pwm': 44317.0}
[318685][PWM]: {'pwm.m4_pwm': 43509.0, 'pwm.m2_pwm': 44850.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46063.0, 'pwm.m3_pwm': 44288.0}
[318735][PWM]: {'pwm.m4_pwm': 43304.0, 'pwm.m2_pwm': 43595.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44244.0, 'pwm.m3_pwm': 44815.0}
[318785][PWM]: {'pwm.m4_pwm': 43504.0, 'pwm.m2_pwm': 44809.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46020.0, 'pwm.m3_pwm': 44433.0}
[318835][PWM]: {'pwm.m4_pwm': 43106.0, 'pwm.m2_pwm': 44386.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 44601.0, 'pwm.m3_pwm': 45205.0}
[318885][PWM]: {'pwm.m4_pwm': 44435.0, 'pwm.m2_pwm': 45224.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 46555.0, 'pwm.m3_pwm': 45487.0}
[318935][PWM]: {'pwm.m4_pwm': 43691.0, 'pwm.m2_pwm': 44708.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45386.0, 'pwm.m3_pwm': 45635.0}
[318985][PWM]: {'pwm.m4_pwm': 43925.0, 'pwm.m2_pwm': 45441.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 46619.0, 'pwm.m3_pwm': 45247.0}
[319035][PWM]: {'pwm.m4_pwm': 42520.0, 'pwm.m2_pwm': 44778.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 44545.0, 'pwm.m3_pwm': 45455.0}
[319085][PWM]: {'pwm.m4_pwm': 43718.0, 'pwm.m2_pwm': 44200.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45850.0, 'pwm.m3_pwm': 44763.0}
