Wed Feb 21 12:47:27 2018
###Command: takeoff###
[32969][PWM]: {'pwm.m2_pwm': 44779.0, 'pwm.m4_pwm': 45243.0, 'pwm.m1_pwm': 44823.0, 'pwm.m3_pwm': 42911.0, 'pm.vbat': 3.446920871734619}
[33019][PWM]: {'pwm.m2_pwm': 47639.0, 'pwm.m4_pwm': 46580.0, 'pwm.m1_pwm': 46987.0, 'pwm.m3_pwm': 45032.0, 'pm.vbat': 3.420527935028076}
[33069][PWM]: {'pwm.m2_pwm': 45807.0, 'pwm.m4_pwm': 44041.0, 'pwm.m1_pwm': 44472.0, 'pwm.m3_pwm': 43390.0, 'pm.vbat': 3.4521994590759277}
[33119][PWM]: {'pwm.m2_pwm': 47061.0, 'pwm.m4_pwm': 46646.0, 'pwm.m1_pwm': 46007.0, 'pwm.m3_pwm': 45895.0, 'pm.vbat': 3.4310851097106934}
[33169][PWM]: {'pwm.m2_pwm': 45737.0, 'pwm.m4_pwm': 44329.0, 'pwm.m1_pwm': 45558.0, 'pwm.m3_pwm': 42715.0, 'pm.vbat': 3.446920871734619}
[33219][PWM]: {'pwm.m2_pwm': 46537.0, 'pwm.m4_pwm': 46770.0, 'pwm.m1_pwm': 45547.0, 'pwm.m3_pwm': 46113.0, 'pm.vbat': 3.4310851097106934}
[33269][PWM]: {'pwm.m2_pwm': 45832.0, 'pwm.m4_pwm': 43846.0, 'pwm.m1_pwm': 44827.0, 'pwm.m3_pwm': 43262.0, 'pm.vbat': 3.4521994590759277}
[33319][PWM]: {'pwm.m2_pwm': 45877.0, 'pwm.m4_pwm': 46489.0, 'pwm.m1_pwm': 45730.0, 'pwm.m3_pwm': 44953.0, 'pm.vbat': 3.4416422843933105}
[33369][PWM]: {'pwm.m2_pwm': 45930.0, 'pwm.m4_pwm': 44454.0, 'pwm.m1_pwm': 44013.0, 'pwm.m3_pwm': 44498.0, 'pm.vbat': 3.4521994590759277}
###Command: left###
[33419][PWM]: {'pwm.m2_pwm': 46616.0, 'pwm.m4_pwm': 47094.0, 'pwm.m1_pwm': 46405.0, 'pwm.m3_pwm': 45503.0, 'pm.vbat': 3.436363697052002}
[33469][PWM]: {'pwm.m2_pwm': 44881.0, 'pwm.m4_pwm': 46027.0, 'pwm.m1_pwm': 44521.0, 'pwm.m3_pwm': 44461.0, 'pm.vbat': 3.446920871734619}
[33519][PWM]: {'pwm.m2_pwm': 44568.0, 'pwm.m4_pwm': 44754.0, 'pwm.m1_pwm': 44514.0, 'pwm.m3_pwm': 42981.0, 'pm.vbat': 3.4574780464172363}
[33569][PWM]: {'pwm.m2_pwm': 46883.0, 'pwm.m4_pwm': 43635.0, 'pwm.m1_pwm': 45408.0, 'pwm.m3_pwm': 43306.0, 'pm.vbat': 3.4521994590759277}
[33619][PWM]: {'pwm.m2_pwm': 45375.0, 'pwm.m4_pwm': 45325.0, 'pwm.m1_pwm': 44701.0, 'pwm.m3_pwm': 44375.0, 'pm.vbat': 3.4521994590759277}
[33669][PWM]: {'pwm.m2_pwm': 47298.0, 'pwm.m4_pwm': 43900.0, 'pwm.m1_pwm': 46078.0, 'pwm.m3_pwm': 43757.0, 'pm.vbat': 3.446920871734619}
[33719][PWM]: {'pwm.m2_pwm': 46891.0, 'pwm.m4_pwm': 45008.0, 'pwm.m1_pwm': 45695.0, 'pwm.m3_pwm': 44987.0, 'pm.vbat': 3.4416422843933105}
[33769][PWM]: {'pwm.m2_pwm': 46675.0, 'pwm.m4_pwm': 45277.0, 'pwm.m1_pwm': 46717.0, 'pwm.m3_pwm': 44278.0, 'pm.vbat': 3.4416422843933105}
[33819][PWM]: {'pwm.m2_pwm': 46593.0, 'pwm.m4_pwm': 45111.0, 'pwm.m1_pwm': 45450.0, 'pwm.m3_pwm': 45440.0, 'pm.vbat': 3.436363697052002}
[33869][PWM]: {'pwm.m2_pwm': 46108.0, 'pwm.m4_pwm': 45826.0, 'pwm.m1_pwm': 46083.0, 'pwm.m3_pwm': 45016.0, 'pm.vbat': 3.4416422843933105}
[33919][PWM]: {'pwm.m2_pwm': 46345.0, 'pwm.m4_pwm': 43908.0, 'pwm.m1_pwm': 47010.0, 'pwm.m3_pwm': 42820.0, 'pm.vbat': 3.4521994590759277}
[33969][PWM]: {'pwm.m2_pwm': 45792.0, 'pwm.m4_pwm': 45665.0, 'pwm.m1_pwm': 45030.0, 'pwm.m3_pwm': 46278.0, 'pm.vbat': 3.4416422843933105}
[34019][PWM]: {'pwm.m2_pwm': 46201.0, 'pwm.m4_pwm': 45140.0, 'pwm.m1_pwm': 46648.0, 'pwm.m3_pwm': 44573.0, 'pm.vbat': 3.436363697052002}
[34069][PWM]: {'pwm.m2_pwm': 45305.0, 'pwm.m4_pwm': 45243.0, 'pwm.m1_pwm': 45271.0, 'pwm.m3_pwm': 45401.0, 'pm.vbat': 3.446920871734619}
[34119][PWM]: {'pwm.m2_pwm': 47249.0, 'pwm.m4_pwm': 43105.0, 'pwm.m1_pwm': 46109.0, 'pwm.m3_pwm': 44495.0, 'pm.vbat': 3.4416422843933105}
[34169][PWM]: {'pwm.m2_pwm': 45414.0, 'pwm.m4_pwm': 45184.0, 'pwm.m1_pwm': 45525.0, 'pwm.m3_pwm': 45249.0, 'pm.vbat': 3.446920871734619}
[34219][PWM]: {'pwm.m2_pwm': 45448.0, 'pwm.m4_pwm': 45782.0, 'pwm.m1_pwm': 45827.0, 'pwm.m3_pwm': 45746.0, 'pm.vbat': 3.4416422843933105}
[34269][PWM]: {'pwm.m2_pwm': 47771.0, 'pwm.m4_pwm': 44096.0, 'pwm.m1_pwm': 47358.0, 'pwm.m3_pwm': 44917.0, 'pm.vbat': 3.436363697052002}
[34319][PWM]: {'pwm.m2_pwm': 45002.0, 'pwm.m4_pwm': 45762.0, 'pwm.m1_pwm': 45760.0, 'pwm.m3_pwm': 45491.0, 'pm.vbat': 3.4416422843933105}
[34369][PWM]: {'pwm.m2_pwm': 47366.0, 'pwm.m4_pwm': 43543.0, 'pwm.m1_pwm': 46586.0, 'pwm.m3_pwm': 44737.0, 'pm.vbat': 3.4416422843933105}
[34419][PWM]: {'pwm.m2_pwm': 45303.0, 'pwm.m4_pwm': 45258.0, 'pwm.m1_pwm': 45522.0, 'pwm.m3_pwm': 45360.0, 'pm.vbat': 3.446920871734619}
[34469][PWM]: {'pwm.m2_pwm': 45495.0, 'pwm.m4_pwm': 45190.0, 'pwm.m1_pwm': 45623.0, 'pwm.m3_pwm': 45528.0, 'pm.vbat': 3.4416422843933105}
[34519][PWM]: {'pwm.m2_pwm': 47125.0, 'pwm.m4_pwm': 44578.0, 'pwm.m1_pwm': 46086.0, 'pwm.m3_pwm': 45377.0, 'pm.vbat': 3.4416422843933105}
[34569][PWM]: {'pwm.m2_pwm': 47419.0, 'pwm.m4_pwm': 45022.0, 'pwm.m1_pwm': 46984.0, 'pwm.m3_pwm': 44954.0, 'pm.vbat': 3.436363697052002}
[34619][PWM]: {'pwm.m2_pwm': 49138.0, 'pwm.m4_pwm': 48000.0, 'pwm.m1_pwm': 48368.0, 'pwm.m3_pwm': 48128.0, 'pm.vbat': 3.409970760345459}
[34669][PWM]: {'pwm.m2_pwm': 46387.0, 'pwm.m4_pwm': 45785.0, 'pwm.m1_pwm': 45375.0, 'pwm.m3_pwm': 46104.0, 'pm.vbat': 3.4046921730041504}
[34719][PWM]: {'pwm.m2_pwm': 48426.0, 'pwm.m4_pwm': 46673.0, 'pwm.m1_pwm': 47903.0, 'pwm.m3_pwm': 46528.0, 'pm.vbat': 3.420527935028076}
[34769][PWM]: {'pwm.m2_pwm': 44633.0, 'pwm.m4_pwm': 45260.0, 'pwm.m1_pwm': 43202.0, 'pwm.m3_pwm': 46291.0, 'pm.vbat': 3.4521994590759277}
[34819][PWM]: {'pwm.m2_pwm': 48772.0, 'pwm.m4_pwm': 45438.0, 'pwm.m1_pwm': 48109.0, 'pwm.m3_pwm': 45853.0, 'pm.vbat': 3.4258065223693848}
[34869][PWM]: {'pwm.m2_pwm': 43798.0, 'pwm.m4_pwm': 44943.0, 'pwm.m1_pwm': 44453.0, 'pwm.m3_pwm': 44317.0, 'pm.vbat': 3.446920871734619}
[34919][PWM]: {'pwm.m2_pwm': 47052.0, 'pwm.m4_pwm': 45071.0, 'pwm.m1_pwm': 47449.0, 'pwm.m3_pwm': 45001.0, 'pm.vbat': 3.462756633758545}
[34969][PWM]: {'pwm.m2_pwm': 44575.0, 'pwm.m4_pwm': 43553.0, 'pwm.m1_pwm': 44771.0, 'pwm.m3_pwm': 44400.0, 'pm.vbat': 3.446920871734619}
[35019][PWM]: {'pwm.m2_pwm': 46905.0, 'pwm.m4_pwm': 45681.0, 'pwm.m1_pwm': 47379.0, 'pwm.m3_pwm': 46646.0, 'pm.vbat': 3.436363697052002}
