Wed Feb 21 12:59:51 2018
###Command: takeoff###
[73671][PWM]: {'pwm.m1_pwm': 45642.0, 'pwm.m2_pwm': 50861.0, 'pwm.m4_pwm': 47662.0, 'pwm.m3_pwm': 47888.0, 'pm.vbat': 3.346627712249756}
[73721][PWM]: {'pwm.m1_pwm': 45570.0, 'pwm.m2_pwm': 51222.0, 'pwm.m4_pwm': 46875.0, 'pwm.m3_pwm': 47322.0, 'pm.vbat': 3.3413491249084473}
[73771][PWM]: {'pwm.m1_pwm': 45754.0, 'pwm.m2_pwm': 50208.0, 'pwm.m4_pwm': 47299.0, 'pwm.m3_pwm': 46924.0, 'pm.vbat': 3.346627712249756}
[73821][PWM]: {'pwm.m1_pwm': 48470.0, 'pwm.m2_pwm': 48243.0, 'pwm.m4_pwm': 48644.0, 'pwm.m3_pwm': 42654.0, 'pm.vbat': 3.346627712249756}
[73871][PWM]: {'pwm.m1_pwm': 32062.0, 'pwm.m2_pwm': 53087.0, 'pwm.m4_pwm': 43907.0, 'pwm.m3_pwm': 54686.0, 'pm.vbat': 3.3360705375671387}
[73921][PWM]: {'pwm.m1_pwm': 52287.0, 'pwm.m2_pwm': 48338.0, 'pwm.m4_pwm': 49098.0, 'pwm.m3_pwm': 37618.0, 'pm.vbat': 3.346627712249756}
[73971][PWM]: {'pwm.m1_pwm': 44503.0, 'pwm.m2_pwm': 50780.0, 'pwm.m4_pwm': 45523.0, 'pwm.m3_pwm': 48352.0, 'pm.vbat': 3.346627712249756}
[74021][PWM]: {'pwm.m1_pwm': 45050.0, 'pwm.m2_pwm': 50816.0, 'pwm.m4_pwm': 45575.0, 'pwm.m3_pwm': 48135.0, 'pm.vbat': 3.3413491249084473}
[74071][PWM]: {'pwm.m1_pwm': 50831.0, 'pwm.m2_pwm': 48370.0, 'pwm.m4_pwm': 47155.0, 'pwm.m3_pwm': 41918.0, 'pm.vbat': 3.346627712249756}
[74121][PWM]: {'pwm.m1_pwm': 47028.0, 'pwm.m2_pwm': 49269.0, 'pwm.m4_pwm': 46868.0, 'pwm.m3_pwm': 48455.0, 'pm.vbat': 3.3413491249084473}
[74171][PWM]: {'pwm.m1_pwm': 50637.0, 'pwm.m2_pwm': 50736.0, 'pwm.m4_pwm': 45095.0, 'pwm.m3_pwm': 45010.0, 'pm.vbat': 3.3413491249084473}
[74221][PWM]: {'pwm.m1_pwm': 49288.0, 'pwm.m2_pwm': 49570.0, 'pwm.m4_pwm': 48296.0, 'pwm.m3_pwm': 46929.0, 'pm.vbat': 3.3360705375671387}
[74271][PWM]: {'pwm.m1_pwm': 47681.0, 'pwm.m2_pwm': 52161.0, 'pwm.m4_pwm': 46818.0, 'pwm.m3_pwm': 48345.0, 'pm.vbat': 3.3255133628845215}
