time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
6550, 8049, 8049, 8049, 8049, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.475215624878897
6600, 8382, 8060, 8060, 8060, 6400, 0.494200917888108, 0.475215867117412, 0.475215867117412, 0.475215867117412
6650, 8382, 8382, 8382, 8382, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.494200917888108
6700, 8702, 8382, 8382, 8382, 6656, 0.513068049088799, 0.494200917888108, 0.494200917888108, 0.494200917888108
6750, 8702, 8702, 8702, 8702, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.513068049088799
6800, 9021, 8702, 8702, 8702, 6912, 0.531876220504488, 0.513068049088799, 0.513068049088799, 0.513068049088799
6850, 9021, 9021, 9021, 9021, 6912, 0.531876220504488, 0.531876220504488, 0.531876220504488, 0.531876220504488
6900, 9339, 9021, 9021, 9021, 7168, 0.550625432135175, 0.531876220504488, 0.531876220504488, 0.531876220504488
6950, 9339, 9339, 9339, 9339, 7168, 0.550625432135175, 0.550625432135175, 0.550625432135175, 0.550625432135175
7000, 9655, 9339, 9339, 9339, 7424, 0.569256724195858, 0.550625432135175, 0.550625432135175, 0.550625432135175
7050, 9655, 9655, 9655, 9339, 7424, 0.569256724195858, 0.569256724195858, 0.569256724195858, 0.550625432135175
7100, 9971, 9655, 9655, 9655, 7680, 0.587888016256541, 0.569256724195858, 0.569256724195858, 0.569256724195858
7150, 9971, 9971, 9971, 9655, 7680, 0.587888016256541, 0.587888016256541, 0.587888016256541, 0.569256724195858
7200, 10285, 9971, 9971, 9971, 7936, 0.606401388747219, 0.587888016256541, 0.587888016256541, 0.587888016256541
7250, 10299, 10299, 10299, 9984, 7936, 0.606397281661135, 0.606397281661135, 0.606397281661135, 0.587850321400599
7300, 10299, 10299, 10299, 10299, 7936, 0.606397281661135, 0.606397281661135, 0.606397281661135, 0.606397281661135
7350, 10613, 10613, 10613, 10299, 8192, 0.624885362682749, 0.624885362682749, 0.624885362682749, 0.606397281661135
7400, 10925, 10613, 10613, 10613, 8448, 0.643255685226517, 0.624885362682749, 0.624885362682749, 0.624885362682749
7450, 10925, 10925, 10925, 10613, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.624885362682749
7500, 10925, 10925, 10925, 10925, 8448, 0.643255685226517, 0.643255685226517, 0.643255685226517, 0.643255685226517
7550, 11237, 11237, 11237, 10925, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.643255685226517
7600, 11237, 11237, 11237, 11237, 8704, 0.661626007770286, 0.661626007770286, 0.661626007770286, 0.661626007770286
7650, 11547, 11547, 11547, 11237, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.661626007770286
7700, 11547, 11547, 11547, 11547, 8960, 0.67987857183621, 0.67987857183621, 0.67987857183621, 0.67987857183621
7750, 11872, 11872, 11872, 11563, 9216, 0.698058081426291, 0.698058081426291, 0.698058081426291, 0.679889285337955
7800, 11872, 11872, 11872, 11872, 9216, 0.698058081426291, 0.698058081426291, 0.698058081426291, 0.698058081426291
7850, 12180, 12180, 12180, 11872, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.698058081426291
7900, 12180, 12180, 12180, 12180, 9472, 0.716168078821784, 0.716168078821784, 0.716168078821784, 0.716168078821784
7950, 12487, 12487, 12180, 12180, 9728, 0.734219277524435, 0.734219277524435, 0.716168078821784, 0.716168078821784
8000, 12487, 12487, 12487, 12487, 9728, 0.734219277524435, 0.734219277524435, 0.734219277524435, 0.734219277524435
8050, 12793, 12793, 12487, 12487, 9984, 0.752211677534244, 0.752211677534244, 0.734219277524435, 0.734219277524435
8100, 12793, 12793, 12793, 12793, 9984, 0.752211677534244, 0.752211677534244, 0.752211677534244, 0.752211677534244
8150, 13098, 13098, 12793, 12793, 10240, 0.770145278851209, 0.770145278851209, 0.752211677534244, 0.752211677534244
8200, 13098, 13098, 13098, 13098, 10240, 0.770145278851209, 0.770145278851209, 0.770145278851209, 0.770145278851209
8250, 13401, 13401, 13098, 13098, 10496, 0.78796128278249, 0.78796128278249, 0.770145278851209, 0.770145278851209
8300, 13401, 13401, 13401, 13401, 10496, 0.78796128278249, 0.78796128278249, 0.78796128278249, 0.78796128278249
8350, 13704, 13704, 13401, 13401, 10752, 0.805777286713771, 0.805777286713771, 0.78796128278249, 0.78796128278249
8400, 13704, 13704, 13704, 13704, 10752, 0.805777286713771, 0.805777286713771, 0.805777286713771, 0.805777286713771
8450, 14024, 14024, 13723, 13723, 11008, 0.823463290199914, 0.823463290199914, 0.805789128024345, 0.805789128024345
8500, 14024, 14024, 14024, 14024, 11008, 0.823463290199914, 0.823463290199914, 0.823463290199914, 0.823463290199914
8550, 14325, 14325, 14024, 14024, 11264, 0.841137452375482, 0.841137452375482, 0.823463290199914, 0.823463290199914
8600, 14325, 14325, 14325, 14325, 11264, 0.841137452375482, 0.841137452375482, 0.841137452375482, 0.841137452375482
8650, 14624, 14624, 14325, 14325, 11520, 0.858694178257525, 0.858694178257525, 0.841137452375482, 0.841137452375482
8700, 14624, 14624, 14624, 14624, 11520, 0.858694178257525, 0.858694178257525, 0.858694178257525, 0.858694178257525
8750, 14922, 14922, 14624, 14624, 11776, 0.876192185992806, 0.876192185992806, 0.858694178257525, 0.858694178257525
8800, 14922, 14922, 14922, 14922, 11776, 0.876192185992806, 0.876192185992806, 0.876192185992806, 0.876192185992806
