time, m1_pwm, set_pwm, voltage
9400, 22641, 18944, 1.33859490782761
9450, 22641, 18944, 1.33859490782761
9500, 22903, 19200, 1.35411356096588
9550, 22903, 19200, 1.35411356096588
9600, 23133, 19456, 1.36956366831114
9650, 23165, 19456, 1.36956366831114
9700, 23425, 19712, 1.38494522986339
9750, 23425, 19712, 1.38494522986339
9800, 23684, 19968, 1.40025824562263
9850, 23684, 19968, 1.40025824562263
9900, 23942, 20224, 1.41550271558887
9950, 23942, 20224, 1.41550271558887
10000, 24165, 20480, 1.4306786397621
10050, 24198, 20480, 1.4306786397621
10100, 24454, 20736, 1.44578601814232
10150, 24454, 20736, 1.44578601814232
10200, 24708, 20992, 1.46082485072954
10250, 24708, 20992, 1.46082485072954
10300, 24962, 21248, 1.47579513752375
10350, 24962, 21248, 1.47579513752375
10400, 25214, 21504, 1.49069687852495
10450, 25214, 21504, 1.49069687852495
10500, 25464, 21760, 1.50553007373314
10550, 25464, 21760, 1.50553007373314
10600, 25714, 22016, 1.52029472314832
10650, 25714, 22016, 1.52029472314832
10700, 25963, 22272, 1.5349908267705
10750, 25963, 22272, 1.5349908267705
10800, 26210, 22528, 1.54961838459967
10850, 26210, 22528, 1.54961838459967
10900, 26493, 22784, 1.56417739663583
10950, 26456, 22784, 1.56417739663583
11000, 26702, 23040, 1.57866786287899
11050, 26702, 23040, 1.57866786287899
11100, 26982, 23296, 1.59308978332913
11150, 26945, 23296, 1.59308978332913
11200, 27225, 23552, 1.60744315798627
11250, 27225, 23552, 1.60744315798627
11300, 27467, 23808, 1.6217279868504
11350, 27467, 23808, 1.6217279868504
11400, 27708, 24064, 1.63594426992153
11450, 27708, 24064, 1.63594426992153
11500, 27948, 24320, 1.65009200719965
11550, 27948, 24320, 1.65009200719965
11600, 28186, 24576, 1.66417119868476
11650, 28186, 24576, 1.66417119868476
11700, 28385, 24832, 1.67818184437686
11750, 28423, 24832, 1.67818184437686
11800, 28660, 25088, 1.69212394427595
11850, 28660, 25088, 1.69212394427595
11900, 28895, 25344, 1.70599749838204
11950, 28895, 25344, 1.70599749838204
12000, 29128, 25600, 1.71980250669512
12050, 29128, 25600, 1.71980250669512
12100, 29321, 25856, 1.73353896921519
12150, 29361, 25856, 1.73353896921519
12200, 29593, 26112, 1.74720688594225
12250, 29593, 26112, 1.74720688594225
12300, 29823, 26368, 1.76080625687631
12350, 29823, 26368, 1.76080625687631
12400, 30052, 26624, 1.77433708201736
12450, 30052, 26624, 1.77433708201736
12500, 30280, 26880, 1.7877993613654
12550, 30280, 26880, 1.7877993613654
12600, 30507, 27136, 1.80119309492044
12650, 30507, 27136, 1.80119309492044
12700, 30733, 27392, 1.81451828268246
12750, 30733, 27392, 1.81451828268246
12800, 30957, 27648, 1.82777492465148
12850, 30957, 27648, 1.82777492465148
12900, 31181, 27904, 1.8409630208275
12950, 31223, 27904, 1.8409630208275
13000, 31403, 28160, 1.8540825712105
13050, 31403, 28160, 1.8540825712105
13100, 31667, 28416, 1.8671335758005
13150, 31624, 28416, 1.8671335758005
13200, 31887, 28672, 1.88011603459749
13250, 31844, 28672, 1.88011603459749
13300, 32106, 28928, 1.89302994760147
13350, 32062, 28928, 1.89302994760147
13400, 32324, 29184, 1.90587531481244
13450, 32324, 29184, 1.90587531481244
13500, 32541, 29440, 1.91865213623041
13550, 32541, 29440, 1.91865213623041
13600, 32756, 29696, 1.93136041185537
13650, 32756, 29696, 1.93136041185537
13700, 32971, 29952, 1.94400014168732
13750, 32971, 29952, 1.94400014168732
13800, 33184, 30208, 1.95657132572627
13850, 33184, 30208, 1.95657132572627
13900, 33396, 30464, 1.9690739639722
13950, 33396, 30464, 1.9690739639722
14000, 33607, 30720, 1.98150805642513
14050, 33607, 30720, 1.98150805642513
14100, 33817, 30976, 1.99387360308505
14150, 33817, 30976, 1.99387360308505
14200, 34025, 31232, 2.00617060395197
14250, 34025, 31232, 2.00617060395197
14300, 34025, 31232, 2.00617060395197
14350, 34233, 31488, 2.01839905902587
14400, 34439, 31744, 2.03055896830677
14450, 34439, 31744, 2.03055896830677
14500, 34644, 32000, 2.04265033179467
14550, 34644, 32000, 2.04265033179467
14600, 34848, 32256, 2.05467314948955
14650, 34848, 32256, 2.05467314948955
14700, 35051, 32512, 2.06662742139143
14750, 35051, 32512, 2.06662742139143
14800, 35252, 32768, 2.0785131475003
14850, 35252, 32768, 2.0785131475003
14900, 35453, 33024, 2.09033032781616
14950, 35501, 33024, 2.09033032781616
